claim_id,product_id,product_category,product_brand,product_model,product_serial,purchase_date,purchase_price,retailer,invoice_number,warranty_start_date,warranty_expiry_date,warranty_duration_months,product_age_days,remaining_warranty_days,is_extended_warranty,fault_occurrence_date,fault_category,fault_description,damage_type,has_receipt,has_warranty_card,has_damage_photo,has_serial_photo,has_repair_report,missing_document_count,serial_number_match,previous_repairs_count,unauthorized_repair_flag,claim_date_conflict_flag,claim_class
CLM-00482,PRD-00482,Industrial & Automotive Tools,MegaWrench,TorqueGrinder 1500W,SN-MEG-3622462,2024-06-28,731.69,Industrial Supply Direct,INV-2025-74840,2024-06-28,2027-06-13,36,814,266,0,2026-09-09,Gearbox seizure,Reported genuine hardware failure: Gearbox seizure under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,1,0,0,Valid Claim
CLM-00551,PRD-00551,Industrial & Automotive Tools,MegaWrench,IronForge Impact 24V,SN-MEG-4177535,2024-07-02,1012.14,Prime Retail Express,INV-2024-25765,2024-07-02,2026-06-22,24,810,0,0,2026-09-09,Hydraulic pressure seal failure,Failure: Hydraulic pressure seal failure. Note: product warranty expired 90 days ago.,Hardware Wear,1,1,1,1,0,0,1,2,0,0,Invalid Claim
CLM-01335,PRD-01335,Industrial & Automotive Tools,IronForge,IronForge Impact 24V,SN-IRO-4815353,2023-10-05,1238.05,Industrial Supply Direct,INV-2024-84647,2023-10-05,2026-09-19,36,1081,0,1,2026-09-16,Armature burning,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-00172,PRD-00172,Home Appliances,FrostGuard,ThermaWash Eco,SN-FRO-2376369,2025-10-01,727.76,Industrial Supply Direct,INV-2026-93086,2025-10-01,2027-09-21,24,354,366,0,2026-09-07,Compressor failure,Reported genuine hardware failure: Compressor failure under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-01426,PRD-01426,Consumer Electronics,NovaSound,PixelSlate 12,SN-NOV-5707347,2026-03-18,1076.29,Prime Retail Express,INV-2024-30052,2026-03-18,2027-03-13,12,186,174,0,2026-09-17,Speaker malfunction,Diagnostic report inconclusive regarding whether component failure was thermal surge or defect.,Ambiguous Diagnostic,1,1,1,1,1,0,1,2,0,0,Manual Review
CLM-01282,PRD-01282,Industrial & Automotive Tools,TitanPower,TorqueGrinder 1500W,SN-TIT-5481772,2025-12-24,198.6,National Appliance Depot,INV-2024-25455,2025-12-24,2029-12-03,48,270,1170,1,2026-09-13,Chuck bearing breakdown,Diagnostic report inconclusive regarding whether component failure was thermal surge or defect.,Ambiguous Diagnostic,1,1,1,1,1,0,1,1,0,0,Manual Review
CLM-01399,PRD-01399,Home Appliances,ThermaPure,ThermaWash Eco,SN-THE-4541058,2022-10-10,893.55,TechMegaStore Downtown,INV-2025-41751,2022-10-10,2026-09-19,48,1441,0,1,2026-09-19,Thermostat failure,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-00737,PRD-00737,Consumer Electronics,NovaSound,ApexBook Air 14,SN-NOV-4686979,2026-01-29,390.92,Official Brand Store,INV-2024-45073,2026-01-29,2028-01-19,24,234,486,0,2026-09-17,Battery failure to charge,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-00454,PRD-00454,Consumer Electronics,VividDisplay,ApexFit Chrono 3,SN-VIV-4095339,2026-03-23,670.86,Official Brand Store,INV-2024-97235,2026-03-23,2028-03-12,24,181,539,0,2026-09-07,Speaker malfunction,Reported genuine hardware failure: Speaker malfunction under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00873,PRD-00873,Consumer Electronics,VividDisplay,VividTab 11 Max,SN-VIV-8695935,2026-05-15,1109.79,Industrial Supply Direct,INV-2024-96325,2026-05-15,2027-05-10,12,128,232,0,2026-09-09,Third-party unauthorized disassembly,Physical inspection reveals clear Third-party unauthorized disassembly violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00915,PRD-00915,Industrial & Automotive Tools,IronForge,TorqueGrinder 1500W,SN-IRO-5432538,2026-04-29,1146.35,Electronics Hub Metro,INV-2025-46082,2026-04-29,2029-04-13,36,144,936,0,2026-09-16,Chuck bearing breakdown,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-00894,PRD-00894,Home Appliances,CleanCycle,FrostGuard 450L Smart,SN-CLE-4662556,2025-06-27,637.09,TechMegaStore Downtown,INV-2026-47925,2025-06-27,2027-06-17,24,450,270,0,2026-09-01,Improper electrical supply rating,Physical inspection reveals clear Improper electrical supply rating violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-01448,PRD-01448,Industrial & Automotive Tools,IronForge,TitanDrill 20V HD,SN-IRO-9966292,2024-04-03,1128.42,Electronics Hub Metro,INV-2026-30582,2024-04-03,2027-03-19,36,900,180,1,2026-09-16,Armature burning,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-01136,PRD-01136,Home Appliances,KitchenPro,ThermaCold 320L,SN-KIT-5986295,2024-04-03,1749.11,Official Brand Store,INV-2025-23164,2024-04-03,2028-03-13,48,900,540,1,2024-03-27,Water pump leakage,Discrepancy detected: Claimed fault occurrence date predates registered purchase date.,Date Inconsistency,1,1,1,1,0,0,1,0,0,1,Manual Review
CLM-00812,PRD-00812,Home Appliances,ThermaPure,FrostGuard 450L Smart,SN-THE-1748441,2025-09-25,764.4,Electronics Hub Metro,INV-2026-13346,2025-09-25,2027-09-15,24,360,360,0,2026-09-02,Third-party modifications,Physical inspection reveals clear Third-party modifications violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-01362,PRD-01362,Industrial & Automotive Tools,IronForge,IronGrind 9-inch Industrial,SN-IRO-2584831,2025-01-25,647.8,TechMegaStore Downtown,INV-2026-67216,2025-01-25,2027-01-15,24,603,117,0,2025-01-18,Trigger switch failure,Discrepancy detected: Claimed fault occurrence date predates registered purchase date.,Date Inconsistency,1,1,1,1,0,0,1,0,0,1,Manual Review
CLM-01317,PRD-01317,Consumer Electronics,NovaSound,ApexBook Pro 16,SN-NOV-4859085,2025-07-19,603.18,TechMegaStore Downtown,INV-2024-18261,2025-07-19,2027-07-09,24,428,292,0,2026-09-17,Screen flickering,Diagnostic report inconclusive regarding whether component failure was thermal surge or defect.,Ambiguous Diagnostic,1,1,1,1,1,0,1,1,0,0,Manual Review
CLM-00339,PRD-00339,Industrial & Automotive Tools,TorqueMaster,TorqueGrinder 1500W,SN-TOR-5412076,2024-10-26,240.09,Official Brand Store,INV-2024-77713,2024-10-26,2027-10-11,36,694,386,0,2026-08-26,Trigger switch failure,Reported genuine hardware failure: Trigger switch failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00793,PRD-00793,Industrial & Automotive Tools,TitanPower,TorqueMaster Brushless 18V,SN-TIT-7983351,2025-11-07,836.87,Prime Retail Express,INV-2024-82276,2025-11-07,2028-10-22,36,317,763,0,2026-09-17,Abnormal overload beyond specified torque limits,Physical inspection reveals clear Abnormal overload beyond specified torque limits violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00866,PRD-00866,Home Appliances,KitchenPro,AeroBreeze DualCool 2.0T,SN-KIT-8544263,2025-02-07,1626.2,Official Brand Store,INV-2024-14814,2025-02-07,2028-01-23,36,590,490,0,2026-08-31,Pest infestation inside chassis,Physical inspection reveals clear Pest infestation inside chassis violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00764,PRD-00764,Consumer Electronics,NovaSound,ApexFit Chrono 3,SN-NOV-2497768,2025-02-28,644.84,Industrial Supply Direct,INV-2026-24146,2025-02-28,2027-02-18,24,569,151,0,2026-09-16,Battery failure to charge,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-00483,PRD-00483,Consumer Electronics,VividDisplay,NovaPhone 12 Lite,SN-VIV-1451304,2026-02-26,1958.95,Official Brand Store,INV-2025-59882,2026-02-26,2027-02-21,12,206,154,0,2026-09-07,Speaker malfunction,Reported genuine hardware failure: Speaker malfunction under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-01427,PRD-01427,Consumer Electronics,NovaSound,ApexBook Air 14,SN-NOV-6344163,2025-01-26,333.42,Electronics Hub Metro,INV-2026-58052,2025-01-26,2027-01-16,24,602,118,1,2026-09-14,Speaker malfunction,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-00472,PRD-00472,Industrial & Automotive Tools,MegaWrench,TitanDrill 20V HD,SN-MEG-1234617,2024-08-09,757.16,Official Brand Store,INV-2024-46943,2024-08-09,2027-07-25,36,772,308,1,2026-09-15,Hydraulic pressure seal failure,Reported genuine hardware failure: Hydraulic pressure seal failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-00720,PRD-00720,Home Appliances,CleanCycle,ThermaWash Eco,SN-CLE-6950750,2024-04-15,1759.16,Prime Retail Express,INV-2025-11301,2024-04-15,2026-04-05,24,888,0,0,2026-09-11,Thermostat failure,Failure: Thermostat failure. Note: product warranty expired 168 days ago.,Hardware Wear,1,1,1,1,0,0,1,2,0,0,Invalid Claim
CLM-01320,PRD-01320,Industrial & Automotive Tools,TitanPower,MegaWash Pro 2500PSI,SN-TIT-1061235,2024-04-27,377.34,TechMegaStore Downtown,INV-2025-62989,2024-04-27,2027-04-12,36,876,204,1,2024-04-14,Gearbox seizure,Discrepancy detected: Claimed fault occurrence date predates registered purchase date.,Date Inconsistency,1,1,1,1,0,0,1,0,0,1,Manual Review
CLM-00525,PRD-00525,Home Appliances,FrostGuard,KitchenPro Grill 25L,SN-FRO-8541631,2023-06-23,1235.36,Electronics Hub Metro,INV-2025-84636,2023-06-23,2026-06-07,36,1185,0,0,2026-09-15,Compressor failure,Failure: Compressor failure. Note: product warranty expired 105 days ago.,Hardware Wear,1,1,1,1,0,0,1,2,0,0,Invalid Claim
CLM-00500,PRD-00500,Home Appliances,AeroBreeze,FrostGuard 450L Smart,SN-AER-5187652,2025-05-16,1125.19,Official Brand Store,INV-2024-87858,2025-05-16,2028-04-30,36,492,588,0,2026-09-03,Water pump leakage,Reported genuine hardware failure: Water pump leakage under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-01008,PRD-01008,Consumer Electronics,QuantumCompute,NovaPhone 12 Lite,SN-QUA-7364768,2024-02-08,1295.82,TechMegaStore Downtown,INV-2026-57498,2024-02-08,2027-01-23,36,955,125,1,2026-09-18,Speaker malfunction,Diagnostic report inconclusive regarding whether component failure was thermal surge or defect.,Ambiguous Diagnostic,1,1,1,1,1,0,1,2,0,0,Manual Review
CLM-00036,PRD-00036,Consumer Electronics,NovaSound,NovaPhone 12 Pro,SN-NOV-7426265,2025-09-17,1795.08,Official Brand Store,INV-2024-18418,2025-09-17,2027-09-07,24,368,352,0,2026-09-01,Speaker malfunction,Reported genuine hardware failure: Speaker malfunction under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00676,PRD-00676,Industrial & Automotive Tools,TorqueMaster,TorqueMaster Brushless 18V,SN-TOR-5232271,2024-09-07,1239.58,National Appliance Depot,INV-2025-49892,2024-09-07,2026-08-28,24,743,0,0,2026-09-11,Gearbox seizure,Failure: Gearbox seizure. Note: product warranty expired 23 days ago.,Hardware Wear,1,1,1,1,0,0,1,1,0,0,Invalid Claim
CLM-00222,PRD-00222,Consumer Electronics,QuantumCompute,QuantumPixel 8,SN-QUA-7626978,2026-05-04,1340.09,Industrial Supply Direct,INV-2026-65923,2026-05-04,2027-04-29,12,139,221,0,2026-09-13,Battery failure to charge,Reported genuine hardware failure: Battery failure to charge under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-00331,PRD-00331,Home Appliances,KitchenPro,FrostGuard Side-by-Side 600L,SN-KIT-5807067,2024-11-13,1041.0,Electronics Hub Metro,INV-2024-93962,2024-11-13,2027-10-29,36,676,404,0,2026-08-30,Electronic PCB failure,Reported genuine hardware failure: Electronic PCB failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-01327,PRD-01327,Consumer Electronics,ApexTech,VividTab 11 Max,SN-APE-8734053,2025-10-18,1029.78,Prime Retail Express,INV-2025-25437,2025-10-18,2027-10-08,24,337,383,0,2026-09-07,Screen flickering,Diagnostic report inconclusive regarding whether component failure was thermal surge or defect.,Ambiguous Diagnostic,1,1,1,1,1,0,1,1,0,0,Manual Review
CLM-00870,PRD-00870,Home Appliances,CleanCycle,CleanCycle FrontLoad 8kg,SN-CLE-8657887,2025-11-26,1248.72,Official Brand Store,INV-2025-62341,2025-11-26,2028-11-10,36,298,782,0,2026-09-07,Third-party modifications,Physical inspection reveals clear Third-party modifications violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-01173,PRD-01173,Home Appliances,FrostGuard,CleanCycle FrontLoad 8kg,SN-FRO-3373992,2025-10-11,1413.63,Prime Retail Express,INV-2026-48686,2025-10-11,2027-10-01,24,344,376,0,2026-09-16,Compressor failure,Diagnostic report inconclusive regarding whether component failure was thermal surge or defect.,Ambiguous Diagnostic,1,1,1,1,1,0,1,1,0,0,Manual Review
CLM-00607,PRD-00607,Consumer Electronics,ApexTech,ApexBook Air 14,SN-APE-1244275,2026-06-23,974.37,Electronics Hub Metro,INV-2026-97680,2026-06-23,2027-06-18,12,89,271,0,2026-09-13,Rooted firmware malfunction,Physical inspection reveals clear Rooted firmware malfunction violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-01234,PRD-01234,Industrial & Automotive Tools,MegaWrench,MegaWash Pro 2500PSI,SN-MEG-3162530,2023-10-04,499.22,Prime Retail Express,INV-2024-20876,2023-10-04,2026-09-18,36,1082,0,0,2026-09-19,Armature burning,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-00978,PRD-00978,Consumer Electronics,PixelCraft,NovaPhone 12 Pro,SN-PIX-1211031,2024-07-28,209.72,Industrial Supply Direct,INV-2025-13624,2024-07-28,2026-07-18,24,784,0,0,2026-09-09,Bluetooth/Wi-Fi failure,Failure: Bluetooth/Wi-Fi failure. Note: product warranty expired 64 days ago.,Hardware Wear,1,1,1,1,0,0,1,2,0,0,Invalid Claim
CLM-00082,PRD-00082,Home Appliances,FrostGuard,ThermaWash Eco,SN-FRO-9748499,2025-06-11,781.61,Official Brand Store,INV-2024-17972,2025-06-11,2028-05-26,36,466,614,0,2026-08-28,Compressor failure,Reported genuine hardware failure: Compressor failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-01184,PRD-01184,Home Appliances,KitchenPro,FrostGuard 450L Smart,SN-KIT-5812312,2024-04-05,473.17,National Appliance Depot,INV-2024-40323,2024-04-05,2027-03-21,36,898,182,0,2024-03-31,Electronic PCB failure,Discrepancy detected: Claimed fault occurrence date predates registered purchase date.,Date Inconsistency,1,1,1,1,0,0,1,0,0,1,Manual Review
CLM-00220,PRD-00220,Consumer Electronics,QuantumCompute,ApexBook Air 14,SN-QUA-5191831,2026-01-06,416.87,TechMegaStore Downtown,INV-2024-25919,2026-01-06,2027-12-27,24,257,463,1,2026-09-14,Motherboard failure,Reported genuine hardware failure: Motherboard failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-01123,PRD-01123,Consumer Electronics,VividDisplay,NovaPad Pro 10,SN-VIV-1071890,2025-09-21,1419.71,TechMegaStore Downtown,INV-2024-68884,2025-09-21,2026-09-16,12,364,0,0,2026-09-19,Screen flickering,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-00202,PRD-00202,Home Appliances,AeroBreeze,ThermaAir Silent,SN-AER-3539636,2024-02-15,1770.83,Prime Retail Express,INV-2026-67984,2024-02-15,2027-01-30,36,948,132,1,2026-09-15,Motor burnout,Reported genuine hardware failure: Motor burnout under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-00771,PRD-00771,Home Appliances,KitchenPro,FrostGuard Side-by-Side 600L,SN-KIT-8736886,2025-10-05,1172.33,Industrial Supply Direct,INV-2025-22588,2025-10-05,2027-09-25,24,350,370,0,2026-09-10,Water pump leakage,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-01261,PRD-01261,Home Appliances,AeroBreeze,CleanCycle QuickWash 7kg,SN-AER-9302324,2024-09-26,743.69,Electronics Hub Metro,INV-2026-91189,2024-09-26,2026-09-16,24,724,0,0,2026-09-16,Electronic PCB failure,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-00846,PRD-00846,Home Appliances,KitchenPro,KitchenPro Convection 30L,SN-KIT-9173748,2026-03-24,522.78,Prime Retail Express,INV-2025-62350,2026-03-24,2028-03-13,24,180,540,0,2026-09-11,Thermostat failure,Unit previously opened and tampered with at non-authorized workshop (Joe's Unofficial Fix Shop).,Tampering,1,1,1,1,1,0,1,3,1,0,Invalid Claim
CLM-00631,PRD-00631,Home Appliances,FrostGuard,KitchenPro Convection 30L,SN-FRO-3061828,2024-11-26,1689.41,National Appliance Depot,INV-2026-42576,2024-11-26,2027-11-11,36,663,417,0,2026-09-11,Electronic PCB failure,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-00261,PRD-00261,Consumer Electronics,PixelCraft,QuantumBook Ultra 15,SN-PIX-3835093,2025-02-20,482.27,Official Brand Store,INV-2026-14897,2025-02-20,2027-02-10,24,577,143,0,2026-08-30,Screen flickering,Reported genuine hardware failure: Screen flickering under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00488,PRD-00488,Home Appliances,ThermaPure,ThermaCold 320L,SN-THE-9466446,2024-04-25,1585.6,Industrial Supply Direct,INV-2026-80772,2024-04-25,2028-04-04,48,878,562,1,2026-09-06,Thermostat failure,Reported genuine hardware failure: Thermostat failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00673,PRD-00673,Consumer Electronics,ApexTech,NovaPhone 12 Lite,SN-APE-5594635,2025-08-23,2476.92,Electronics Hub Metro,INV-2025-12314,2025-08-23,2026-08-18,12,393,0,0,2026-09-03,Speaker malfunction,Failure: Speaker malfunction. Note: product warranty expired 33 days ago.,Hardware Wear,1,1,1,1,0,0,1,2,0,0,Invalid Claim
CLM-00406,PRD-00406,Home Appliances,FrostGuard,KitchenPro Grill 25L,SN-FRO-1136218,2024-07-26,1277.39,Prime Retail Express,INV-2025-26718,2024-07-26,2028-07-05,48,786,654,1,2026-09-01,Compressor failure,Reported genuine hardware failure: Compressor failure under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,1,0,0,Valid Claim
CLM-00712,PRD-00712,Home Appliances,ThermaPure,AeroBreeze DualCool 2.0T,SN-THE-8416290,2023-06-15,1339.47,Electronics Hub Metro,INV-2024-84545,2023-06-15,2026-05-30,36,1193,0,0,2026-09-06,Drum spin malfunction,Failure: Drum spin malfunction. Note: product warranty expired 113 days ago.,Hardware Wear,1,1,1,1,0,0,1,1,0,0,Invalid Claim
CLM-00128,PRD-00128,Consumer Electronics,VividDisplay,NovaWatch Ultra,SN-VIV-8542969,2025-12-10,769.21,TechMegaStore Downtown,INV-2024-48038,2025-12-10,2027-11-30,24,284,436,0,2026-09-13,Battery failure to charge,Reported genuine hardware failure: Battery failure to charge under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-00328,PRD-00328,Consumer Electronics,NovaSound,QuantumPixel 8,SN-NOV-8935405,2025-12-15,2052.04,Electronics Hub Metro,INV-2025-75483,2025-12-15,2026-12-10,12,279,81,0,2026-09-09,Battery failure to charge,Reported genuine hardware failure: Battery failure to charge under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-00288,PRD-00288,Consumer Electronics,VividDisplay,QuantumBook Ultra 15,SN-VIV-7398370,2024-01-31,2305.64,TechMegaStore Downtown,INV-2025-43631,2024-01-31,2027-01-15,36,963,117,1,2026-09-02,Battery failure to charge,Reported genuine hardware failure: Battery failure to charge under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-00195,PRD-00195,Consumer Electronics,VividDisplay,QuantumPixel 8,SN-VIV-5153279,2026-01-21,1950.39,Official Brand Store,INV-2025-74154,2026-01-21,2027-01-16,12,242,118,0,2026-09-06,Speaker malfunction,Reported genuine hardware failure: Speaker malfunction under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-00226,PRD-00226,Consumer Electronics,QuantumCompute,QuantumPixel 8,SN-QUA-6952633,2024-12-24,2349.97,Electronics Hub Metro,INV-2024-41005,2024-12-24,2026-12-14,24,635,85,0,2026-09-18,Bluetooth/Wi-Fi failure,Reported genuine hardware failure: Bluetooth/Wi-Fi failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-00518,PRD-00518,Consumer Electronics,QuantumCompute,NovaPad Pro 10,SN-QUA-2328472,2026-03-17,2285.58,Industrial Supply Direct,INV-2025-29478,2026-03-17,2027-03-12,12,187,173,0,2026-09-09,Speaker malfunction,Unit previously opened and tampered with at non-authorized workshop (Joe's Unofficial Fix Shop).,Tampering,1,1,1,1,1,0,1,3,1,0,Invalid Claim
CLM-01118,PRD-01118,Home Appliances,CleanCycle,KitchenPro Grill 25L,SN-CLE-3229746,2022-10-09,1604.25,Official Brand Store,INV-2026-65358,2022-10-09,2026-09-18,48,1442,0,1,2026-09-17,Drum spin malfunction,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-00609,PRD-00609,Consumer Electronics,ApexTech,NovaPhone 12 Pro,SN-APE-6982358,2024-06-03,942.75,TechMegaStore Downtown,INV-2025-95720,2024-06-03,2026-05-24,24,839,0,0,2026-09-09,Speaker malfunction,Failure: Speaker malfunction. Note: product warranty expired 119 days ago.,Hardware Wear,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00831,PRD-00831,Consumer Electronics,QuantumCompute,NovaPad Pro 10,SN-QUA-6459256,2026-03-28,768.01,Industrial Supply Direct,INV-2024-33094,2026-03-28,2028-03-17,24,176,544,0,2026-09-12,Bluetooth/Wi-Fi failure,Unit previously opened and tampered with at non-authorized workshop (Corner Hardware & Mobile Repairs).,Tampering,1,1,1,1,1,0,1,3,1,0,Invalid Claim
CLM-00001,PRD-00001,Industrial & Automotive Tools,IronForge,TitanDrill 20V HD,SN-IRO-5108603,2026-07-20,405.69,Official Brand Store,INV-2024-98696,2026-07-20,2028-07-09,24,62,658,0,2026-09-18,Armature burning,Reported genuine hardware failure: Armature burning under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,1,0,0,Valid Claim
CLM-00418,PRD-00418,Consumer Electronics,QuantumCompute,NovaPad Pro 10,SN-QUA-6296376,2024-12-04,2411.05,Official Brand Store,INV-2024-22761,2024-12-04,2026-11-24,24,655,65,0,2026-08-29,Battery failure to charge,Reported genuine hardware failure: Battery failure to charge under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-01185,PRD-01185,Consumer Electronics,NovaSound,NovaWatch Ultra,SN-NOV-3645399,2025-05-16,2364.68,Prime Retail Express,INV-2026-76303,2025-05-16,2027-05-06,24,492,228,1,2026-09-14,Battery failure to charge,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-00159,PRD-00159,Consumer Electronics,PixelCraft,NovaPad Pro 10,SN-PIX-1663497,2026-05-07,2208.33,Electronics Hub Metro,INV-2026-98008,2026-05-07,2027-05-02,12,136,224,0,2026-09-08,Battery failure to charge,Reported genuine hardware failure: Battery failure to charge under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00120,PRD-00120,Home Appliances,ThermaPure,ThermaCold 320L,SN-THE-6828829,2023-01-23,1434.26,Prime Retail Express,INV-2026-48058,2023-01-23,2027-01-02,48,1336,104,1,2026-09-13,Thermostat failure,Reported genuine hardware failure: Thermostat failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-01413,PRD-01413,Consumer Electronics,PixelCraft,QuantumBook Ultra 15,SN-PIX-7007810,2023-10-03,514.91,Official Brand Store,INV-2025-39194,2023-10-03,2026-09-17,36,1083,0,1,2026-09-16,Bluetooth/Wi-Fi failure,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-00729,PRD-00729,Home Appliances,KitchenPro,AeroBreeze Inverter 1.5T,SN-KIT-8214533,2023-04-22,685.93,Industrial Supply Direct,INV-2024-90775,2023-04-22,2026-04-06,36,1247,0,0,2026-09-02,Motor burnout,Failure: Motor burnout. Note: product warranty expired 167 days ago.,Hardware Wear,1,1,1,1,0,0,1,2,0,0,Invalid Claim
CLM-00795,PRD-00795,Industrial & Automotive Tools,ApexIndustrial,IronForge Impact 24V,SN-APE-1874771,2025-02-05,594.19,Industrial Supply Direct,INV-2026-26415,2025-02-05,2028-01-21,36,592,488,0,2026-09-16,Armature burning,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-00892,PRD-00892,Industrial & Automotive Tools,ApexIndustrial,IronForge Impact 24V,SN-APE-6793159,2024-06-14,244.56,Official Brand Store,INV-2026-58390,2024-06-14,2027-05-30,36,828,252,0,2026-09-12,Chuck bearing breakdown,Unit previously opened and tampered with at non-authorized workshop (Corner Hardware & Mobile Repairs).,Tampering,1,1,1,1,1,0,1,1,1,0,Invalid Claim
CLM-00149,PRD-00149,Consumer Electronics,PixelCraft,NovaPhone 12 Lite,SN-PIX-8412854,2024-02-13,466.35,Electronics Hub Metro,INV-2026-86434,2024-02-13,2027-01-28,36,950,130,1,2026-09-02,Speaker malfunction,Reported genuine hardware failure: Speaker malfunction under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
